kreisname,Nachname,Vorname,data-id
Tübingen,Widmann-Mauz,Annette,858200
Mettmann I,Wiener,Klaus,
Rheingau-Taunus - Limburg,Willsch,Klaus-Peter,858176
Rhein-Sieg-Kreis I,Winkelmeier-Becker,Elisabeth,858192
Fürth,Winkler,Tobias,860366
Oberallgäu,Wittmann,Mechthilde,860322
Altmark,Wollmann,Herbert,
Kulmbach,Zeulner,Emmi,858212
Märkischer Kreis II,Ziemiak,Paul,858210
Uckermark - Barnim I,Zierke,Stefan,858206
Odenwald,Zimmermann,Jens,
Karlsruhe-Land,Zippelius,Nicolas,861658
Frankfurt am Main I,Zorn,Armand,861560
Rostock - Landkreis Rostock II,Zschau,Katrin,860826
