plz,mdbid
23843,861374
22889,861374
22965,861374
22967,861374
23847,861374
22949,861374
22964,861374
23843,861374
23623,857422
23730,857422
23611,857422
23738,857422
23715,857422
23747,857422
23738,857422
23701,857422
23758,857422
23758,857422
23743,857422
23775,857422
23749,857422
23738,857422
23774,857422
23777,857422
23738,857422
23717,857422
23746,857422
23738,857422
23714,857422
23738,857422
23779,857422
23730,857422
23758,857422
23626,857422
23738,857422
23730,857422
23744,857422
23730,857422
23617,857422
23701,857422
23669,857422
23758,857422
23683,857422
23769,857422
23619,857422
23858,857422
23619,857422
23858,857422
23619,857422
23860,857422
23619,857422
23619,857422
23858,857422
23847,857422
23619,857422
23858,857422
23858,857422
23909,857962
23881,857962
21521,857962
23909,857962
23881,857962
21483,857962
21493,857962
23899,857962
21039,857962
23881,857962
23881,857962
21514,857962
23883,857962
21524,857962
23911,857962
21481,857962
21514,857962
22946,857962
21483,857962
21521,857962
23898,857962
23911,857962
21493,857962
21039,857962
21514,857962
23909,857962
21493,857962
21502,857962
23909,857962
21514,857962
21493,857962
23883,857962
23911,857962
23627,857962
21493,857962
23627,857962
21493,857962
23899,857962
21483,857962
21514,857962
22929,857962
21502,857962
23911,857962
21493,857962
21526,857962
23883,857962
21514,857962
23883,857962
21483,857962
21514,857962
22929,857962
23911,857962
21514,857962
23883,857962
23881,857962
22929,857962
21527,857962
21529,857962
21483,857962
21483,857962
22958,857962
23898,857962
23911,857962
21514,857962
23881,857962
21483,857962
21481,857962
23883,857962
21483,857962
23909,857962
21493,857962
23879,857962
21493,857962
21516,857962
23911,857962
23881,857962
23896,857962
23896,857962
23911,857962
23896,857962
23909,857962
23896,857962
23909,857962
21514,857962
0,857962
21493,857962
23911,857962
23911,857962
21481,857962
21493,857962
21516,857962
21493,857962
23883,857962
21514,857962
23883,857962
21493,857962
21516,857962
23896,857962
21483,857962
21465,857962
21502,857962
21514,857962
21521,857962
21516,857962
21502,857962
23911,857962
22926,857962
22885,857962
22145,857962
