plz,data-id
48455,8580740
49824,8580740
48465,8580740
49828,8580740
49828,8580740
49843,8580740
49843,8580740
49843,8580740
49846,8580740
48465,8580740
49847,8580740
49824,8580740
49828,8580740
49828,8580740
48529,8580740
48465,8580740
49828,8580740
48465,8580740
49824,8580740
48465,8580740
49843,8580740
49847,8580740
49835,8580740
49849,8580740
48465,8580740
21279,8580160
21271,8580160
21227,8580160
21438,8580160
21244,8580160
21255,8580160
21423,8580160
21279,8580160
21272,8580160
21376,8580160
21376,8580160
21441,8580160
21376,8580160
21646,8580160
21256,8580160
21271,8580160
21228,8580160
21258,8580160
21279,8580160
21266,8580160
21255,8580160
21255,8580160
21436,8580160
21439,8580160
21647,8580160
21629,8580160
21259,8580160
21649,8580160
21224,8580160
21376,8580160
21218,8580160
21435,8580160
21395,8580160
21442,8580160
21255,8580160
21274,8580160
21444,8580160
21261,8580160
21279,8580160
21423,8580160
21255,8580160
21445,8580160
49074,8608820
49191,8608820
49124,8608820
49170,8608820
49205,8608820
49134,8608820
30159,8573160
31303,8608840
30938,8608840
30823,8608840
30916,8608840
30853,8608840
31535,8608840
30900,8608840
31515,8608840
31061,8581480
31191,8581480
31162,8581480
31167,8581480
31199,8581480
31036,8581480
31008,8581480
31180,8581480
31177,8581480
31134,8581480
31188,8581480
31171,8581480
31157,8581480
31174,8581480
31185,8581480
31089,8581480
31084,8581480
31028,8581480
31195,8581480
31079,8581480
28195,8579040
6493,8571800
38889,8571800
6484,8571800
6463,8571800
38822,8571800
38820,8571800
38829,8571800
6493,8571800
6458,8571800
38838,8571800
38871,8571800
38871,8571800
38875,8571800
38835,8571800
6484,8571800
39397,8571800
6458,8571800
6502,8571800
38828,8571800
38855,8571800
6449,8571800
6469,8571800
39104,8613140
39249,8613140
39221,8613140
39240,8613140
39218,8613140
10178,8605100
10178,8573340
10178,8574300
10178,8604140
10178,8604160
10178,8615020
10178,8615240
52062,8576240
52477,8577520
52499,8577520
52249,8577520
52134,8577520
52156,8577520
52159,8577520
52152,8577520
52222,8577520
52146,8577520
41812,8578180
52538,8578180
52511,8578180
52525,8578180
41836,8578180
52538,8578180
52531,8578180
52525,8578180
41849,8578180
41844,8578180
