kreisid;kreisname
151;Nordsachsen
152;Leipzig I
153;Leipzig II
154;Leipzig-Land
155;Meißen
156;Bautzen I
157;Görlitz
158;Sächsische Schweiz-Osterzgebirge
159;Dresden I
160;Dresden II – Bautzen II
161;Mittelsachsen
162;Chemnitz
163;Chemnitzer Umland – Erzgebirgskreis II
164;Erzgebirgskreis I
165;Zwickau
166;Vogtlandkreis
167;Waldeck
168;Kassel
169;Werra-Meißner – Hersfeld-Rotenburg
170;Schwalm-Eder
171;Marburg
172;Lahn-Dill
173;Gießen
174;Fulda
175;Main-Kinzig – Wetterau II – Schotten
176;Hochtaunus
177;Wetterau I
178;Rheingau-Taunus – Limburg
179;Wiesbaden
180;Hanau
181;Main-Taunus
182;Frankfurt am Main I
183;Frankfurt am Main II
184;Groß-Gerau
185;Offenbach
186;Darmstadt
187;Odenwald
188;Bergstraße
189;Eichsfeld – Nordhausen – Kyffhäuserkreis
190;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis
191;Jena – Sömmerda – Weimarer Land I
192;Gotha – Ilm-Kreis
193;Erfurt – Weimar – Weimarer Land II
194;Gera – Greiz – Altenburger Land
195;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis
196;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg
197;Neuwied
198;Ahrweiler
199;Koblenz
200;Mosel/Rhein-Hunsrück
201;Kreuznach
202;Bitburg
203;Trier
204;Montabaur
205;Mainz
206;Worms
207;Ludwigshafen/Frankenthal
208;Neustadt – Speyer
209;Kaiserslautern
210;Pirmasens
211;Südpfalz
212;Altötting
213;Erding – Ebersberg
214;Freising
215;Fürstenfeldbruck
216;Ingolstadt
217;München-Nord
218;München-Ost
219;München-Süd
220;München-West/Mitte
221;München-Land
222;Rosenheim
223;Bad Tölz-Wolfratshausen – Miesbach
224;Starnberg – Landsberg am Lech
225;Traunstein
226;Weilheim
227;Deggendorf
228;Landshut
229;Passau
230;Rottal-Inn
231;Straubing
232;Amberg
233;Regensburg
234;Schwandorf
235;Weiden
236;Bamberg
237;Bayreuth
238;Coburg
239;Hof
240;Kulmbach
241;Ansbach
242;Erlangen
243;Fürth
244;Nürnberg-Nord
245;Nürnberg-Süd
246;Roth
247;Aschaffenburg
248;Bad Kissingen
249;Main-Spessart
250;Schweinfurt
251;Würzburg
252;Augsburg-Stadt
253;Augsburg-Land
254;Donau-Ries
255;Neu-Ulm
256;Oberallgäu
257;Ostallgäu
258;Stuttgart I
259;Stuttgart II
260;Böblingen
261;Esslingen
262;Nürtingen
263;Göppingen
264;Waiblingen
265;Ludwigsburg
266;Neckar-Zaber
267;Heilbronn
268;Schwäbisch Hall – Hohenlohe
269;Backnang – Schwäbisch Gmünd
270;Aalen – Heidenheim
271;Karlsruhe-Stadt
272;Karlsruhe-Land
273;Rastatt
274;Heidelberg
275;Mannheim
276;Odenwald – Tauber
277;Rhein-Neckar
278;Bruchsal – Schwetzingen
279;Pforzheim
280;Calw
281;Freiburg
282;Lörrach – Müllheim
283;Emmendingen – Lahr
284;Offenburg
285;Rottweil – Tuttlingen
286;Schwarzwald-Baar
287;Konstanz
288;Waldshut
289;Reutlingen
290;Tübingen
291;Ulm
292;Biberach
293;Bodensee
294;Ravensburg
295;Zollernalb – Sigmaringen
296;Saarbrücken
297;Saarlouis
298;St. Wendel
299;Homburg
